E Numbers,Name of Additive,Description,Example Use
E100,Curcumin,Naturally occurring orange/yellow colour Extracted from the spice turmeric,"Used in pastries, confectionery, sauces, and soups"
E101,Riboflavin or lactoflavin (Vitamin B2),Naturally occurring B-group vitamin Usually obtained from yeast or produced synthetically,Enrichment and fortification of food Added to processed cheese as yellow/orange colour
E102,Tartrazine,Widely used yellow/orange colour,"Found in soft drinks, cakes, biscuits, puddings, meat products, sauces, tinned and packet convenience foods and confectionery"
E104,Quinoline Yellow,"A synthetic coal tar dye, greenish yellow in colour","Used with other yellow colours, especially in smoked fish"
E110,Sunset Yellow FCF; Orange Yellow S,"A synthetic coal tar dye, yellow in colour, used with E102","Found in soft drinks, cakes, biscuits, puddings, meat products, sauces, tinned and packet convenience foods and confectionery"
E120,Cochineal; Carminic acid; Carmines,Natural red colour obtained from egg yolk and dried insects Can be manufactured,Red colour in foods
E122,Azorubine; Carmoisine,"A synthetic coal tar dye, red/purple in colour","Often added to raspberry and chocolate flavoured desserts, marzipan, jam, cherryade, bottled sauce, and breaded products"
E123,Amaranth,"A synthetic coal tar dye, red in colour","Sometimes used in gravy mixes, meat patties, and blackcurrant drinks"
E124,Ponceau 4R; Cochineal Red A,"A synthetic coal tar dye, red in colour","Often used to restore red colour to tinned strawberries Also added to strawberry jam, jelly and ice cream, tomato soup, savoury rice, cheesecake mix, and some meat products"
E127,Erythrosine,"A synthetic coal tar dye, red in colour Rich in mineral iodine","Regular component of glace cherries, peach melba yogurt, vacuum-packed ham and pork, tinned strawberries, and certain flavours of chips and potato-based snacks"
E128,Red 2G,"A synthetic coal tar dye, red in colour",Now banned in many countries including the EU and USA
E129,Allura Red AC,Colouring agent,"Used in drinks, baked goods, meat products, and sweets"
E131,Patent Blue V,Colouring agent,Used in some meat products
E132,lndigotine; Indigo Carmine,"A synthetic coal tar dye, blue in colour",Added to gravy mix and certain meat products
E133,Brilliant Blue FCF,"A synthetic coal tar dye, blue in colour Often mixed with E102 to make green",Bacon flavoured snacks
E140,Chlorophyll and chlorophyllins,Naturally occurring green pigment found plant leaves and stems Also manufactured,Added to green vegetables to enhance their colour
E141,Copper complexes of chlorophyll and chlorophyllins,A more stable colour obtained by a reaction between copper and manufactured chlorophyll,Used to heighten the green colour of products such as cucumber relish
E142,Green S,"A synthetic coal tar dye, green in colour","Used to restore the expected green colour to tinned peas Also added to asparagus soup, lemon or lime drinks and jellies, and mint sauce"
E150a,Plain caramel,Commonly used brown colour and flavouring agent made from the caramelisation or burning of sugar by heat or chemicals No ammonium or sulphite reactants,"Used in soft drinks, gravy mix, brown bread, cakes, biscuits, malt vinegar, marmalade, and beef products"
E150b,Caustic sulphite caramel,"Colouring agent With sulphite reactant, but no ammonium","Used in tea, whiskey, and brandy"
E150c,Ammonia caramel,"Colouring agent With ammonium reactant, but no sulphite",Used to colour soy sauce and beer
E150d,Sulphite ammonia caramel,Colouring agent With both sulphite and ammonia reactants,Widely used for soft drinks
